Price;Close;High;Low;Open;Volume
Ticker;TSLA;TSLA;TSLA;TSLA;TSLA
Date;;;;;
2014-06-09 00.00.00;13,76133347;13,99933338;13,28333282;13,86333275;297538500
2014-06-16 00.00.00;15,30599976;15,70266724;13,75066662;13,7840004;707827500
2014-06-23 00.00.00;15,93733311;16,12533379;15,21466732;15,30066681;486375000
2014-06-30 00.00.00;15,28333282;16,29933357;14,9333334;15,97000027;335382000
2014-07-07 00.00.00;14,54199982;15,31866741;14,28466702;15,16666698;390172500
2014-07-14 00.00.00;14,66800022;15,25266743;14,23999977;14,66600037;388039500
2014-07-21 00.00.00;14,9046669;15,13133335;14,44799995;14,48333263;239521500
2014-07-28 00.00.00;15,55133343;15,83333302;14,73600006;14,94999981;517041000
2014-08-04 00.00.00;16,54199982;17,11266708;15,55133343;15,62533283;497499000
2014-08-11 00.00.00;17,46733284;17,70933342;16,97200012;17,03199959;441160500
2014-08-18 00.00.00;17,1186676;17,81733322;16,77466774;17,54999924;299413500
2014-08-25 00.00.00;17,97999954;18,13333321;17,21266747;17,21266747;306198000
2014-09-01 00.00.00;18,49266624;19,4279995;18,1673336;18,36666679;542044500
2014-09-08 00.00.00;18,61333275;19,03266716;18,24399948;18,50799942;313986000
2014-09-15 00.00.00;17,28800011;18,29333305;16,60866737;18,29133224;606550500
2014-09-22 00.00.00;16,44000053;17,06800079;16,31399918;17;393778500
2014-09-29 00.00.00;17,01399994;17,10000038;15,71000004;16,26666641;441558000
2014-10-06 00.00.00;15,79399967;17,70266724;15,68000031;17,2753334;562552500
2014-10-13 00.00.00;15,16533279;15,93066692;14,48799992;15,9046669;652050000
2014-10-20 00.00.00;15,68266678;15,85333347;15,0340004;15,11466694;280455000
2014-10-27 00.00.00;16,11333275;16,30666733;14,68733311;15,61666679;480537000
2014-11-03 00.00.00;16,01333237;16,50399971;15,23333263;16,20000076;561720000
2014-11-10 00.00.00;17,24533272;17,25666618;15,78666687;15,94066715;461008500
2014-11-17 00.00.00;16,18533325;17,3326664;16,14466667;17,16600037;412342500
2014-11-24 00.00.00;16,30133247;16,64800072;16,04266739;16,34666634;180756000
2014-12-01 00.00.00;14,91399956;16,16466713;14,81733322;16,07733345;445999500
2014-12-08 00.00.00;13,80000019;14,99066734;13,61800003;14,76933289;597591000
